variable,label,new_label
wetlandpaddy_month_1,"wetland paddy on irrigated land, pure crop, and hybrid  ",wetpaddy_i_p_h
wetlandpaddy_month_2,"wetland paddy on irrigated land, pure crop, and NOT hybrid  ",wetpaddy_i_p_nh
wetlandpaddy_month_3,"wetland paddy on irrigated land, mixed crop, and hybrid  ",wetpaddy_i_m_h
wetlandpaddy_month_4,"wetland paddy on irrigated land, mixed crop, and NOT hybrid  ",wetpaddy_i_m_nh
wetlandpaddy_month_5,"wetland paddy on NOT irrigated land, pure crop, and hybrid  ",wetpaddy_ni_p_h
wetlandpaddy_month_6,"wetland paddy on NOT irrigated land, pure crop, and NOT hybrid  ",wetpaddy_ni_p_nh
wetlandpaddy_month_7,"wetland paddy on NOT irrigated land, mixed crop, and hybrid  ",wetpaddy_ni_m_h
wetlandpaddy_month_8,"wetland paddy on NOT irrigated land, mixed crop, and NOT hybrid  ",wetpaddy_ni_m_nh
drylandpaddy_1,Pure crop  ,drypaddy_p
drylandpaddy_2,Mixed crop  ,drypaddy_m
maize_1,"pure crop, hybrid  ",maize_p_h
maize_2,"pure crop, composite  ",maize_p_c
maize_3,"pure crop, local  ",maize_p_l
maize_4,"mixed crop, hybrid  ",maize_m_h
maize_5,"mixed crop, composite  ",maize_m_c
maize_6,"mixed crop, local  ",maize_m_l
soybean_1,pure crop  ,soy_p
soybean_2,mixed crop  ,soy_m
groudnut_month,,\
mungbean_month,,
cassava_month,,
sweetpotato_month,,
