polygon_code,sub_dist_name2_LABEL,sub_dist_name2,NKS_ALL,census_block,sample)code,
3403011004015B,PURWOSARI,11,107,015B,,
3403030003008B,SAPTO SARI,30,260,008B,,
3403041004001B,TANJUNGSARI,41,483,001B,,
3403050007007B,RONGKOP,50,525,007B,,
3403050012003B,RONGKOP,50,547,003B,,
3403051007008B,GIRISUBO,51,677,008B,,
3403060001049B,SEMANU,60,734,049B,,
3403060002005B,SEMANU,60,740,005B,,
3403060004018B,SEMANU,60,796,018B,,
3403060005009B,SEMANU,60,50007,009B,,
3403060005030B,SEMANU,60,50027,030B,,
3403070009008B,PONJONG,70,929,008B,,
3403070010007B,PONJONG,70,940,007B,,
3403080009011B,KARANGMOJO,80,1125,011B,,
3403100003014B,PLAYEN,100,1310,014B,,
3403100004001B,PLAYEN,100,1316,001B,,
3403120003015B,GEDANG SARI,120,1598,015B,,
3403150002003B,SEMIN,150,1921,003B,,
3403150007004B,SEMIN,150,2014,004B,,
3403150010008B,SEMIN,150,2059,008B,,
